"filename", "language", "Vue", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\PositionSetting.vue", "Vue", 124, 0, 0, 0, 0, 0, 6, 130
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\SettingItem.vue", "Vue", 30, 0, 0, 0, 0, 0, 3, 33
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\SettingItemBox.vue", "Vue", 57, 0, 0, 0, 0, 0, 3, 60
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\SizeSetting.vue", "Vue", 42, 0, 0, 0, 0, 0, 4, 46
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\StylesSetting.vue", "Vue", 214, 0, 0, 0, 0, 13, 15, 242
"f:\研奇\dashboard-view\src\components\Pages\ChartItemSetting\index.ts", "TypeScript", 0, 10, 0, 0, 0, 7, 4, 21
"f:\研奇\dashboard-view\src\components\Pages\Flipper\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3, 6
"f:\研奇\dashboard-view\src\components\Pages\Flipper\index.vue", "Vue", 233, 0, 0, 0, 0, 0, 13, 246
"f:\研奇\dashboard-view\src\components\Pages\MonacoEditor\EditorWorker.vue", "Vue", 22, 0, 0, 0, 0, 0, 3, 25
"f:\研奇\dashboard-view\src\components\Pages\MonacoEditor\index.hook.ts", "TypeScript", 0, 53, 0, 0, 0, 15, 9, 77
"f:\研奇\dashboard-view\src\components\Pages\MonacoEditor\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 2, 5
"f:\研奇\dashboard-view\src\components\Pages\MonacoEditor\index.vue", "Vue", 83, 0, 0, 0, 0, 0, 10, 93
"f:\研奇\dashboard-view\src\components\Pages\ThemeColorSelect\components\ColorList.vue", "Vue", 111, 0, 0, 0, 0, 0, 4, 115
"f:\研奇\dashboard-view\src\components\Pages\ThemeColorSelect\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\Pages\ThemeColorSelect\index.vue", "Vue", 157, 0, 0, 0, 0, 0, 11, 168
"f:\研奇\dashboard-view\src\components\Plugins\DialogContent\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\Plugins\DialogContent\index.vue", "Vue", 6, 0, 0, 0, 0, 1, 1, 8
"f:\研奇\dashboard-view\src\components\Plugins\LoadingContent\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\Plugins\LoadingContent\index.vue", "Vue", 7, 0, 0, 0, 0, 1, 2, 10
"f:\研奇\dashboard-view\src\components\Plugins\MessageContent\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\Plugins\MessageContent\index.vue", "Vue", 6, 0, 0, 0, 0, 1, 2, 9
"f:\研奇\dashboard-view\src\components\Tips\MacOsControlBtn\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\Tips\MacOsControlBtn\index.vue", "Vue", 134, 0, 0, 0, 0, 0, 9, 143
"f:\研奇\dashboard-view\src\directives\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1
"f:\研奇\dashboard-view\src\enums\editPageEnum.ts", "TypeScript", 0, 55, 0, 0, 0, 26, 6, 87
"f:\研奇\dashboard-view\src\enums\eventEnum.ts", "TypeScript", 0, 37, 0, 0, 0, 16, 7, 60
"f:\研奇\dashboard-view\src\enums\fileTypeEnum.ts", "TypeScript", 0, 7, 0, 0, 0, 3, 1, 11
"f:\研奇\dashboard-view\src\enums\httpEnum.ts", "TypeScript", 0, 75, 0, 0, 0, 43, 11, 129
"f:\研奇\dashboard-view\src\enums\pageEnum.ts", "TypeScript", 0, 46, 0, 0, 0, 11, 17, 74
"f:\研奇\dashboard-view\src\enums\pluginEnum.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"f:\研奇\dashboard-view\src\enums\storageEnum.ts", "TypeScript", 0, 10, 0, 0, 0, 8, 1, 19
"f:\研奇\dashboard-view\src\enums\styleEnum.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 2, 19
"f:\研奇\dashboard-view\src\hooks\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 8
"f:\研奇\dashboard-view\src\hooks\useCanvasInitOptions.hook.ts", "TypeScript", 0, 21, 0, 0, 0, 1, 5, 27
"f:\研奇\dashboard-view\src\hooks\useChartDataFetch.hook.ts", "TypeScript", 0, 93, 0, 0, 0, 22, 16, 131
"f:\研奇\dashboard-view\src\hooks\useChartDataPondFetch.hook.ts", "TypeScript", 0, 94, 0, 0, 0, 19, 19, 132
"f:\研奇\dashboard-view\src\hooks\useChartInteract.hook.ts", "TypeScript", 0, 49, 0, 0, 0, 3, 8, 60
"f:\研奇\dashboard-view\src\hooks\useCode.hook.ts", "TypeScript", 0, 8, 0, 0, 0, 1, 2, 11
"f:\研奇\dashboard-view\src\hooks\useLang.hook.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 6, 25
"f:\研奇\dashboard-view\src\hooks\useLifeHandler.hook.ts", "TypeScript", 0, 54, 0, 0, 0, 18, 8, 80
"f:\研奇\dashboard-view\src\hooks\usePreviewScale.hook.ts", "TypeScript", 0, 163, 0, 0, 0, 26, 29, 218
"f:\研奇\dashboard-view\src\hooks\useTheme.hook.ts", "TypeScript", 0, 89, 0, 0, 0, 7, 4, 100
"f:\研奇\dashboard-view\src\i18n\en\dashboard.ts", "TypeScript", 0, 93, 0, 0, 0, 7, 13, 113
"f:\研奇\dashboard-view\src\i18n\en\device.ts", "TypeScript", 0, 46, 0, 0, 0, 3, 7, 56
"f:\研奇\dashboard-view\src\i18n\en\index.ts", "TypeScript", 0, 44, 0, 0, 0, 3, 3, 50
"f:\研奇\dashboard-view\src\i18n\en\login.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"f:\研奇\dashboard-view\src\i18n\en\menu.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 1, 10
"f:\研奇\dashboard-view\src\i18n\en\message.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 1, 7
"f:\研奇\dashboard-view\src\i18n\en\msg.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 2, 18
"f:\研奇\dashboard-view\src\i18n\en\project.ts", "TypeScript", 0, 13, 0, 0, 0, 1, 2, 16
"f:\研奇\dashboard-view\src\i18n\index.ts", "TypeScript", 0, 30, 0, 0, 0, 2, 5, 37
"f:\研奇\dashboard-view\src\i18n\zh\dashboard.ts", "TypeScript", 0, 93, 0, 0, 0, 7, 12, 112
"f:\研奇\dashboard-view\src\i18n\zh\device.ts", "TypeScript", 0, 46, 0, 0, 0, 3, 8, 57
"f:\研奇\dashboard-view\src\i18n\zh\index.ts", "TypeScript", 0, 44, 0, 0, 0, 3, 3, 50
"f:\研奇\dashboard-view\src\i18n\zh\login.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"f:\研奇\dashboard-view\src\i18n\zh\menu.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 1, 10
